Date,Time,HHMM,Mode,Side,Entry,SL,TP1,TP2,Score,CtrlScore,DivStr,Delta,BarSpeed,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,ATR,VwapDist,HoldBars,Outcome,ExitPx,MAE,MFE,PnL,Win
2026-01-02,15:51:01,1551,M4,LONG,25399.75,25365.5,25435.5,25485.25,3,1,2,320.0,3000.0,0,0,0.614,0,1,0,28.52,-100.96,3,STOP,25365.5,37.75,1.25,-685.0,0
2026-01-05,11:53:26,1153,M4,SHORT,25686.75,25713.25,25659.25,25611.75,3,0,-2,-298.0,3008.0,0,0,0.857,0,1,0,22.03,71.94,2,T1,25659.25,2.0,30.75,550.0,1
2026-01-05,12:49:58,1249,M1,LONG,25626.25,25601.0,25652.5,25701.25,3,0,-2,84.0,3000.0,0,0,0.812,0,1,0,21.0,7.55,3,STOP,25601.0,25.75,6.0,-505.0,0
2026-01-05,13:03:06,1303,M1,LONG,25631.75,25607.5,25657.25,25706.75,3,0,-2,55.0,3000.0,0,0,0.805,0,1,1,20.3,12.96,1,STOP,25607.5,31.25,0.5,-485.0,0
2026-01-05,14:09:06,1409,M1,SHORT,25603.75,25627.5,25578.75,25528.75,4,-1,0,-306.0,3000.0,0,0,0.763,0,1,0,19.77,-12.7,4,T1,25578.75,5.0,29.25,500.0,1
2026-01-06,11:22:45,1122,M1,LONG,25691.25,25666.0,25717.5,25766.25,6,2,0,407.0,3000.0,0,0,0.88,0,1,0,20.97,8.57,7,STOP,25666.0,28.25,16.5,-505.0,0
2026-01-06,11:33:36,1133,M1,LONG,25688.5,25663.5,25714.5,25763.5,5,2,0,72.0,3000.0,0,0,0.867,0,1,0,20.74,5.55,3,STOP,25663.5,25.5,12.5,-500.0,0
2026-01-06,11:43:16,1143,M1,SHORT,25665.0,25691.5,25637.5,25590.0,5,-2,0,-292.0,3002.0,0,0,0.857,0,1,1,22.05,-17.89,2,STOP,25691.5,32.25,6.25,-530.0,0
2026-01-07,12:28:01,1228,M4,SHORT,25978.75,25998.75,25953.75,25903.75,4,-1,-4,-108.0,3000.0,0,0,0.844,0,1,0,14.44,118.91,9,T1,25953.75,17.75,25.5,500.0,1
2026-01-07,15:33:38,1533,M4,LONG,25856.25,25835.75,25881.25,25931.25,3,3,2,256.0,3000.0,0,0,0.698,0,1,0,17.11,-25.49,1,STOP,25835.75,30.25,0.5,-410.0,0
2026-01-08,10:21:38,1021,M1,SHORT,25692.0,25724.75,25658.0,25610.5,3,0,-2,-62.0,3000.0,0,0,0.916,0,1,0,27.19,-3.7,6,T1,25658.0,21.5,35.5,680.0,1
2026-01-08,15:20:18,1520,M4,SHORT,25645.75,25674.0,25616.25,25570.75,3,-2,-2,-78.0,3000.0,0,0,0.666,0,1,0,23.62,-26.15,2,STOP,25674.0,38.0,6.5,-565.0,0
2026-01-09,10:30:41,1030,M4,SHORT,25834.75,25874.0,25794.0,25736.75,4,0,-5,-350.0,3000.0,0,0,0.906,0,1,0,32.68,100.98,3,STOP,25874.0,44.25,1.5,-785.0,0
2026-01-09,10:35:32,1035,M4,SHORT,25863.75,25900.75,25825.25,25771.25,4,-1,-4,-24.0,3000.0,0,0,0.896,0,1,0,30.85,124.76,3,T1,25825.25,6.75,50.75,770.0,1
2026-01-09,13:29:13,1329,M4,LONG,25905.0,25882.75,25930.0,25980.0,4,3,2,446.0,3000.0,0,0,0.724,0,1,0,18.6,111.56,2,T1,25930.0,0.75,41.25,500.0,1
2026-01-12,12:07:24,1207,M4,SHORT,25958.75,25980.75,25933.75,25883.75,3,0,-4,40.0,3000.0,0,0,0.844,0,1,0,18.36,113.61,9,STOP,25980.75,29.5,20.5,-440.0,0
2026-01-13,12:50:21,1250,M1,LONG,25939.0,25910.0,25969.25,26014.0,4,1,0,102.0,3000.0,0,0,0.743,0,1,0,24.27,7.13,2,STOP,25910.0,48.5,0.5,-580.0,0
