Date,Time,HHMM,Mode,Side,Entry,SL,TP1,TP2,Score,CtrlScore,DivStr,Delta,BarSpeed,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,ATR,VwapDist,HoldBars,Outcome,ExitPx,MAE,MFE,PnL,Win
2026-04-21,15:14:42,1514,M4,SHORT,26724.75,26764.75,26682.75,26624.0,4,-3,-2,-501.0,3000.0,0,0,0.623,0,1,0,33.6,-27.82,3,STOP,26764.75,47.75,5.75,-800.0,0
2026-04-21,15:36:15,1536,M1,SHORT,26746.25,26783.75,26707.25,26652.5,6,-3,0,-433.0,3000.0,0,0,0.601,0,1,0,31.24,-6.49,1,T1,26707.25,6.25,39.0,780.0,1
2026-04-22,11:05:47,1105,M4,LONG,26947.5,26916.5,26979.75,27024.75,3,0,2,-6.0,3000.0,0,0,0.886,0,1,0,25.74,63.54,1,T1,26979.75,4.0,36.5,645.0,1
2026-04-22,13:25:26,1325,M4,SHORT,27036.25,27065.0,27006.25,26961.25,3,-3,-2,-94.0,3000.0,0,0,0.769,0,1,0,23.96,118.51,9,T1,27006.25,12.0,31.25,600.0,1
2026-04-23,13:32:23,1332,M4,LONG,26895.25,26855.25,26937.25,26996.0,3,1,4,224.0,3000.0,0,0,0.724,0,1,0,33.56,-125.42,2,T1,26937.25,14.75,55.25,840.0,1
2026-04-23,14:39:41,1439,M4,SHORT,26956.25,26996.25,26906.25,26831.75,3,-3,-2,-182.0,3000.0,0,0,0.543,0,1,0,41.46,-27.08,3,T1,26906.25,6.25,59.75,1000.0,1
2026-04-24,11:35:20,1135,M4,SHORT,27326.75,27359.5,27292.5,27244.5,3,-3,-2,-268.0,3000.0,0,0,0.834,0,1,0,27.39,102.82,3,STOP,27359.5,34.5,19.25,-655.0,0
2026-04-27,15:52:50,1552,M4,SHORT,27442.75,27464.75,27417.75,27367.75,4,-2,-2,-165.0,3000.0,0,0,0.734,0,1,0,18.27,49.38,6,T1,27417.75,7.0,27.5,500.0,1
2026-05-01,13:36:41,1336,M4,SHORT,27870.0,27900.5,27838.25,27794.0,3,-3,-2,-205.0,3001.0,0,0,0.763,0,1,0,25.32,80.89,8,T1,27838.25,27.0,34.75,635.0,1
2026-05-05,15:40:26,1540,M4,LONG,28167.75,28147.75,28192.75,28242.75,3,0,2,-64.0,3000.0,0,0,0.789,0,1,0,16.27,92.64,2,STOP,28147.75,27.75,0.25,-400.0,0
2026-05-06,12:17:29,1217,M4,SHORT,28585.0,28613.0,28555.75,28510.0,3,-3,-2,-202.0,3000.0,0,0,0.721,0,1,0,23.39,109.26,4,T1,28555.75,4.5,32.25,585.0,1
2026-05-07,15:49:04,1549,M4,SHORT,28667.0,28702.5,28630.0,28578.25,3,-2,-2,-334.0,3000.0,0,0,0.523,0,1,0,29.58,-73.33,2,STOP,28702.5,41.75,17.5,-710.0,0
2026-05-07,15:52:06,1552,M4,SHORT,28657.25,28695.75,28617.0,28561.0,3,-2,-2,-786.0,3000.0,0,0,0.516,0,1,0,32.11,-82.44,8,STOP,28695.75,69.5,5.25,-770.0,0
2026-05-08,11:40:12,1140,M4,SHORT,29203.0,29234.0,29170.75,29125.75,3,-2,-2,-404.0,3000.0,0,0,0.854,0,1,0,25.74,178.99,2,T1,29170.75,7.5,33.75,645.0,1
2026-05-11,10:39:55,1039,M1,LONG,29355.5,29315.5,29398.5,29458.75,6,2,0,201.0,3001.0,0,0,0.909,0,1,0,34.39,15.93,5,T1,29398.5,10.5,48.75,860.0,1
2026-05-11,15:42:25,1542,M1,LONG,29384.25,29354.75,29415.0,29459.25,5,2,4,-148.0,3000.0,0,0,0.935,0,1,0,24.6,2.39,3,T1,29415.0,8.0,38.75,615.0,1
2026-05-11,15:47:16,1547,M1,LONG,29396.0,29367.0,29426.25,29471.0,3,0,2,4.0,3000.0,0,0,0.932,0,1,0,24.27,14.09,3,T1,29426.25,9.5,34.75,605.0,1
2026-05-12,11:15:34,1115,M2,SHORT,28948.0,28988.0,28904.25,28843.25,6,-3,2,-556.0,3000.0,0,0,0.789,0,1,0,34.95,-205.96,5,T1,28904.25,10.25,43.75,875.0,1
2026-05-12,11:17:49,1117,M2,SHORT,28941.5,28981.5,28899.0,28839.25,7,-3,2,-108.0,3000.0,0,0,0.782,0,1,0,34.08,-208.55,4,T1,28899.0,5.25,73.25,850.0,1
2026-05-13,10:39:03,1039,M1,SHORT,29236.25,29276.25,29190.25,29126.0,3,0,0,-294.0,3004.0,0,0,0.873,0,1,0,36.72,-10.41,3,STOP,29276.25,42.5,17.75,-800.0,0
2026-05-13,13:08:23,1308,M2,LONG,29481.75,29451.75,29513.0,29557.0,8,3,0,50.0,3000.0,0,0,0.731,0,1,0,25.07,195.34,9,STOP,29451.75,40.25,14.5,-600.0,0
2026-05-14,13:30:56,1330,M1,LONG,29661.75,29623.0,29702.0,29758.5,6,3,0,238.0,3000.0,0,0,0.698,0,1,0,32.29,25.71,4,T1,29702.0,16.0,40.5,805.0,1
